id,name,loan1011,loan0910,loan0809,loan0708,loan0607,loan0506,loan0405,loan0304,loan0203,loan0102,loan0001,loan9900,TF9900,TF1011,,TF0910,,TF0809,,TF0708,,TF0607,,TF0506,,TF0405,,TF0304,,TF0203,,TF0102,,TF0001,,TotalEnrollment
Japan,JPN,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,19561,20849,21452,21792,22402,23410,24515,25146,25074,25326,26839,27473
Kazakhstan,KAZ,16348000,16450500,16439095,16330419,16095199,15815626,15577894,15333703,15071300,14928426,14883626,14858335,14858948,15012985,15147029,15308084,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,8469,7744,7505,7023,6361,6067,6304,6625,6687,7033,7919,9201
Kenya,KEN,23724579,24521703,25326078,26136216,26950513,27768296,28589451,29415659,30250488,31098757,31964557,32848564,33751739,35635271,36624895,37649033,38705932,39791981,40901792,42030676,43178257,44343410,45519889,46699981,1524,1546,1519,1512,1537,1590,1638,1627,1653,1668,1669,1723
Kyrgyz Republic,KGZ,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,2255,2113,1840,1592,1300,1243,1335,1471,1496,1550,1651,1760
Cambodia,KHM,8975597,9289299,9623889,9970733,10317899,10656138,10982917,11298600,11600508,11886458,12155239,12405408,12637727,13066469,13273354,13477709,13679962,13883834,14093604,14312212,14541423,14780454,15026332,15274503,0,0,0,1150,740,804,841,865,892,995,1102,1185
Kiribati,KIR,72400,73692,74766,75716,76670,77723,78903,80187,81556,82972,84396,85849,87305,90499,92325,94343,96527,98761,100930,102927,104728,106370,107890,109391,1261,1281,1303,1329,1363,1373,1400,1425,1510,1482,1583,1567
"Korea, Rep.",KOR,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,8273,9346,10044,10875,12008,13299,14433,15406,14621,16393,18083,19168
Kuwait,KWT,2095344,2031296,0,0,0,1605901,1626857,1710256,1831119,1951636,2045123,2103282,2136997,2200492,2270198,2373672,2504019,2656009,2821045,2991884,3168060,3348853,3526378,3690942,0,0,0,0,0,59517,60188,59681,58433,54622,55792,55843
Lebanon,LBN,2803044,2921706,3076132,3246126,3403357,3528380,3610665,3658424,3693520,3747766,3842778,3991001,4182205,4569378,4698763,4759753,4767344,4764741,4813026,4953061,5202343,5538634,5914621,6262410,3623,5371,6075,6528,6874,7207,7981,8097,8407,8361,8449,8632
Liberia,LBR,2075912,2040139,2001624,1976699,1986493,2044661,2160478,2326202,2517481,2699712,2848456,2953927,3024729,3135651,3218116,3329211,3461911,3607860,3754133,3891356,4017443,4135659,4248334,4359505,0,0,0,0,0,0,0,0,0,0,1049,1064
St. Lucia,LCA,138020,139995,141760,143409,145083,146870,148834,150913,153021,154995,156729,158179,159392,161816,163417,165381,167639,170011,172221,174085,175544,176646,177513,178296,6251,6395,6973,7097,7280,7470,7726,7697,8159,8390,8487,8301
Liechtenstein,LIE,28789,29159,29553,29975,30426,30880,31348,31830,32311,32769,33184,33552,33879,34452,34713,34970,35217,35471,35727,35994,36293,36615,36934,37223,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,17325773,17535729,17736821,17924823,18094477,18242912,18367288,18470900,18564599,18663284,18777601,18911730,19062482,19387153,19544988,19695972,19842044,19983984,20123508,20261737,20398670,20425000,20585000,20778000,2345,2505,2645,2864,3060,3269,3432,3694,3891,4095,4411,4407
Lesotho,LSO,1703747,1742539,1782285,1822236,1861324,1898598,1934291,1968044,1997516,2019731,2032804,2035740,2029829,2005940,1996114,1989939,1986922,1987129,1990131,1995581,2003787,2014990,2028519,2043437,843,911,974,1010,1070,1106,1168,1211,1225,1235,1303,1377
Lithuania,LTU,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,0,0,0,0,0,5924,6379,7070,7763,7822,8458,9452
